"","Country","City","AccentCity","Region","Population","Latitude","Longitude"
"658449","co","agua sucia","Agua Sucia","26",NA,6.6,-72.683333
"658450","co","agua sucia","Agua Sucia","29",NA,3.276831,-76.581955
"658451","co","aguasvivas","Aguasvivas","04",NA,10.734461,-75.07238
"658452","co","aguas vivas","Aguas Vivas","12",NA,8.524089,-75.697771
"658453","co","aguasvivas","Aguasvivas","12",NA,8.851857,-76.109651
"658454","co","aguas vivas","Aguas Vivas","12",NA,8.854127,-75.558654
"658455","co","aguas vivas","Aguas Vivas","35",NA,10.043304,-75.079882
"658456","co","aguas vivas","Aguas Vivas","38",NA,9.777308,-74.664213
"658457","co","aguas vives","Aguas Vives","12",NA,8.851857,-76.109651
"658458","co","aguaverde","Aguaverde","31",NA,5.795304,-69.983914
"658459","co","agua verde","Agua Verde","32",NA,4.44686,-72.685266
"658460","co","aguaviva","Aguaviva","04",NA,10.734461,-75.07238
"658461","co","aguaviva","Aguaviva","12",NA,8.851857,-76.109651
"658462","co","aguaviva","Aguaviva","35",NA,10.083333,-75.016667
"658463","co","agua vives","Agua Vives","12",NA,8.851857,-76.109651
"658464","co","aguayo","Aguayo","28",NA,3.711389,-75.529444
"658465","co","aguazul","Aguazul","24",NA,4.876667,-75.648889
"658466","co","aguazul","Aguazul","32",15670,5.172819,-72.547058
"658467","co","aguila","Águila","02",NA,6.596667,-76.049167
"658468","co","aguila","Águila","12",NA,8.8,-76.2
"658469","co","aguila","Aguila","33",NA,4.746975,-73.492711
"658470","co","aguilandia","Aguilandia","19",NA,2.939899,-73.126065
"658471","co","aguilar","Aguilar","02",NA,6.764167,-75.970833
"658472","co","aguilar","Aguilar","27",NA,8.765759,-75.120548
"658473","co","aguilas","Águilas","26",NA,7.470556,-73.315833
"658474","co","aguillo","Aguillo","20",NA,1.5,-78.266667
"658475","co","aguirre","Aguirre","02",NA,6.597222,-75.686944
"658476","co","aguisi","Aguisi","26",NA,7.1,-73.65
"658477","co","aguita","Agüita","24",NA,5.3,-76.2
"658478","co","aguitas","Agüitas","24",NA,5.3,-76.2
"658479","co","agustina","Agustina","33",NA,5.666667,-74.65
"658480","co","agustin codazzi","Agustín Codazzi","10",51479,10.034087,-73.236111
"658481","co","agustin vivas","Agustín Vivas","11",NA,5.25,-76.933333
"658482","co","ahorca zorra","Ahorca Zorra","38",NA,10.504167,-74.628889
"658483","co","ahumada","Ahumada","20",NA,1.184198,-77.55041
"658484","co","ahumada grande","Ahumada Grande","20",NA,1.184198,-77.55041
"658485","co","ahuyama","Ahuyama","17",NA,11.858147,-72.291465
"658486","co","aicala","Aicalá","21",NA,8.091389,-72.383333
"658487","co","aichumahana","Aichumahana","17",NA,11.945278,-71.866667
"658488","co","ailanapaha","Aílanapaha","17",NA,11.908402,-71.735712
"658489","co","ailaparihi","Ailaparihi","17",NA,11.921836,-72.06112
"658490","co","aipe","Aipe","16",7964,3.222222,-75.236667
"658491","co","aipiruhu","Aipiruhu","17",NA,12.127429,-72.115993
"658492","co","aire libre","Aire Libre","35",NA,8.803918,-74.3852
"658493","co","airrainmaru","Áirrainmaru","17",NA,12.448482,-71.666781
"658494","co","ajaraiahuria","Ajaraiahuria","17",NA,11.570556,-72.508364
"658495","co","ajizales","Ajizales","33",NA,5.624167,-74.44
"658496","co","ajumana","Ajumana","17",NA,11.466326,-72.816053
"658497","co","alamos","Álamos","02",NA,6.266667,-75.583333
"658498","co","alamos","Alamos","34",NA,4.698391,-74.128235
"658499","co","alban","Albán","20",NA,1.105404,-77.569673
"658500","co","alban","Albán","29",NA,4.779843,-76.170167
"658501","co","alban","Albán","33",1684,4.876608,-74.437683
"658502","co","albania","Albania","08",4160,1.328661,-75.878235
"658503","co","albania","Albania","09",NA,2.093219,-76.805433
"658504","co","albania","Albania","10",NA,9.555833,-73.901111
"658505","co","albania","Albania","16",NA,2.273611,-75.7075
"658506","co","albania","Albania","17",6365,11.160987,-72.592385
"658507","co","albania","Albania","19",NA,4.106118,-73.553656
"658508","co","albania","Albania","20",NA,1.675278,-78.764167
"658509","co","albania","Albania","23",NA,4.47239,-75.700891
"658510","co","albania","Albania","24",NA,5.406764,-75.915516
"658511","co","albania","Albania","26",810,5.761389,-73.917778
"658512","co","albania","Albania","27",NA,9.240507,-75.228222
"658513","co","albania","Albania","28",NA,3.339722,-75.021111
"658514","co","albania","Albania","33",NA,5.020774,-74.590137
"658515","co","albania","Albania","36",NA,5.6325,-73.855556
"658516","co","albania","Albania","38",NA,10.3,-74.15
"658517","co","albanio","Albanio","17",NA,11.160987,-72.592385
"658518","co","albergue","Albergue","36",NA,5.716667,-73.216667
"658519","co","alberto duran","Alberto Durán","21",NA,7.683333,-72.7
"658520","co","alberto lleras","Alberto Lleras","29",NA,3.87517,-77.063358
"658521","co","albornoz","Albornoz","04",NA,10.566667,-75.016667
"658522","co","albornoz","Albornoz","29",NA,3.826667,-76.374722
"658523","co","albornoz","Albornoz","35",NA,10.372222,-75.506667
"658524","co","albricias","Albricias","04",NA,10.55,-74.8
"658525","co","alcala","Alcalá","21",NA,8.091389,-72.383333
"658526","co","alcala","Alcalá","29",9135,4.674722,-75.7825
"658527","co","alcala","Alcalá","33",NA,5.097798,-74.169252
"658528","co","alcaldia mayor","Alcaldía Mayor","34",NA,4.599267,-74.07749
"658529","co","alcantarilla","Alcantarilla","20",NA,0.949094,-77.741289
"658530","co","alcaparral","Alcaparral","36",NA,5.64265,-73.015227
"658531","co","alcayata","Alcayata","28",NA,3.612222,-75.315833
"658532","co","alcazar","Alcázar","04",NA,10.783333,-75.166667
"658533","co","alcazares","Alcázares","34",NA,4.663288,-74.070344
"658534","co","alcazares norte","Alcázares Norte","34",NA,4.666232,-74.067284
"658535","co","alcibia","Alcibia","35",NA,10.416667,-75.516667
"658536","co","alcivar","Alcivar","20",NA,1.733333,-78.5
"658537","co","alcosana","Alcosana","19",NA,4.025842,-73.593775
"658538","co","aldana","Aldana","20",1956,0.882828,-77.701026
"658539","co","aldea","Aldea","02",NA,6.595,-75.914722
"658540","co","aldea de maria","Aldea de María","20",NA,0.916667,-77.533333
"658541","co","alegacion","Alegacion","35",NA,8.394088,-73.868708
"658542","co","alegria","Alegría","01",NA,-2.616667,-70.083333
"658543","co","alegrias","Alegrías","02",NA,5.551299,-75.611565
"658544","co","alegrias","Alegrías","24",NA,4.753056,-75.672778
"658545","co","alegrias","Alegrías","29",NA,4.083333,-75.85
"658546","co","alegrias","Alegrías","37",NA,5.3,-75.5
"658547","co","alejandria","Alejandría","02",2725,6.377447,-75.140649
"658548","co","alejandria","Alejandria","10",NA,10.133333,-73.983333
"658549","co","alejandria","Alejandría","28",NA,4.006111,-75.564167
"658550","co","alejandria","Alejandria","29",NA,3.768056,-76.058611
"658551","co","alejandria","Alejandría","33",NA,4.479492,-73.956363
"658552","co","alejandria","Alejandría","36",NA,5.566667,-73.931667
"658553","co","alejandria","Alejandría","37",NA,5.166667,-75.666667
"658554","co","alejandria","Alejandría","38",NA,9.802439,-74.197664
"658555","co","alejandro bernate","Alejandro Bernate","28",NA,4.183333,-74.75
"658556","co","alemania","Alemania","02",NA,6.478889,-74.771389
"658557","co","alemania","Alemania","08",NA,1.248305,-75.653458
"658558","co","alemania","Alemania","12",NA,8.676517,-75.863413
"658559","co","alemania","Alemania","16",NA,2.421699,-75.851755
"658560","co","alemania","Alemania","21",NA,8.227611,-72.381758
"658561","co","alemania","Alemania","26",NA,5.855984,-73.981748
"658562","co","alemania","Alemania","27",NA,8.548473,-74.747101
"658563","co","alemania","Alemania","33",NA,4.781049,-73.678198
"658564","co","alemania","Alemania","37",NA,4.966667,-75.833333
"658565","co","alemania","Alemania","38",NA,10.033333,-74.35
"658566","co","ales","Ales","20",NA,1.186858,-77.493113
"658567","co","aletones","Aletones","08",NA,1.487414,-75.868885
"658568","co","alex","Alex","20",NA,1.189979,-77.495592
"658569","co","alferez","Alférez","27",NA,8.841424,-75.07693
"658570","co","alferez","Alferéz","35",NA,9.716667,-75.166667
"658571","co","alfonso lopez","Alfonso López","02",NA,5.895137,-75.957222
"658572","co","alfonso lopez","Alfonso López","09",NA,2.216667,-77.7
"658573","co","alfonso lopez","Alfonso López","12",NA,8.393922,-74.902461
"658574","co","alfonso lopez","Alfonso López","20",NA,1.233655,-77.490875
"658575","co","alfonzo lopez","Alfonzo López","02",NA,5.895137,-75.957222
"658576","co","algarrabo","Algarrabo","32",NA,5.733333,-71.933333
"658577","co","algarrobal","Algarrobal","27",NA,9.738555,-75.389538
"658578","co","algarrobal","Algarrobal","38",NA,9.129532,-74.044765
"658579","co","algarrobillito","Algarrobillito","10",NA,10.299811,-73.260344
"658580","co","algarrobo","Algarrobo","02",NA,6.750833,-75.9175
"658581","co","algarrobo","Algarrobo","03",NA,6.438323,-71.520518
"658582","co","algarrobo","Algarrobo","04",NA,10.65,-75.15
"658583","co","algarrobo","Algarrobo","10",NA,10.186184,-74.060851
"658584","co","algarrobo","Algarrobo","12",NA,9.094389,-75.446159
"658585","co","algarrobo","Algarrobo","21",NA,8.411111,-73.269722
"658586","co","algarrobo","Algarrobo","26",NA,7.433333,-73.235278
"658587","co","algarrobo","Algarrobo","31",NA,4.094722,-70.854444
"658588","co","algarrobo","Algarrobo","32",NA,4.566202,-71.972741
"658589","co","algarrobo","Algarrobo","35",NA,8.471829,-74.508207
"658590","co","algarrobo","Algarrobo","36",NA,5.681109,-72.47812
"658591","co","algarrobo","Algarrobo","37",NA,5.0725,-75.584167
"658592","co","algarrobo","Algarrobo","38",10042,10.1,-74.266667
"658593","co","algeciras","Algeciras","16",10792,2.522953,-75.314922
"658594","co","algodonal","Algodonal","04",NA,10.348897,-74.949191
"658595","co","algodonal","Algodonal","21",NA,8.2,-73.316667
"658596","co","algodonal","Algodonal","32",NA,5.25,-72.15
"658597","co","algodoncillo","Algodoncillo","12",NA,9.268704,-75.55199
"658598","co","algodones","Algodones","33",NA,4.704565,-73.364963
"658599","co","algorrobo","Algorrobo","12",NA,9.094389,-75.446159
"658600","co","alianza","Alianza","01",NA,-2.883333,-69.766667
"658601","co","alianza","Alianza","09",NA,2.263367,-76.896809
"658602","co","alibisu","Alibisú","35",NA,10.166667,-75.25
"658603","co","alibizu","Alibizú","35",NA,10.166667,-75.25
"658604","co","alicante","Alicante","02",NA,6.616667,-74.6
"658605","co","alicante","Alicante","38",NA,10.647662,-74.22969
"658606","co","alicia","Alicia","29",NA,3.57,-76.435833
"658607","co","aljibes","Aljibes","26",NA,6.769191,-73.548828
"658608","co","allaos","Allaos","02",NA,6.261872,-75.701765
"658609","co","allemira","Allemira","20",NA,1.508442,-77.010611
"658610","co","almagra","Almagra","12",NA,8.9131,-75.913671
"658611","co","almagra","Almagra","27",NA,9.564874,-75.28223
"658612","co","almaguer","Almaguer","09",3120,1.917,-76.852331
"658613","co","almara","Almara","33",NA,5.51,-73.785833
"658614","co","almeida","Almeida","36",754,4.970833,-73.379722
"658615","co","almendro","Almendro","21",NA,7.583333,-72.833333
"658616","co","almendros","Almendros","34",NA,4.757467,-74.101832
"658617","co","almidon","Almidón","15",NA,3.825128,-67.956097
"658618","co","almirante colon","Almirante Colón","34",NA,4.715333,-74.083534
"658619","co","almorzadero","Almorzadero","16",NA,2.758889,-75.535833
"658620","co","almorzadero","Almorzadero","26",NA,5.763889,-73.851389
"658621","co","almorzadero","Almorzadero","29",NA,4.242289,-76.224593
"658622","co","almorzadero","Almorzadero","32",NA,5.483333,-72.483333
"658623","co","alonso lince","Alonso Lince","29",NA,3.695833,-76.261944
"658624","co","alpamanga","Alpamanga","22",NA,0.938816,-76.284634
"658625","co","alpena","Alpena","01",NA,-1.016667,-74.066667
"658626","co","alpes","Alpes","35",NA,10.399444,-75.481667
"658627","co","alpujarra","Alpujarra","02",NA,6.233333,-75.583333
"658628","co","alpujarra","Alpujarra","20",NA,1.617809,-77.165977
"658629","co","alpujarra","Alpujarra","28",NA,3.393056,-75.935556
"658630","co","alpujarrita","Alpujarrita","28",NA,3.361667,-74.982778
"658631","co","alqueria","Alquería","34",NA,4.602752,-74.140059
"658632","co","alqueria la fragua","Alquería La Fragua","34",NA,4.602752,-74.140059
"658633","co","alsacia","Alsacia","02",NA,5.677778,-75.846667
"658634","co","alsacia","Alsacia","23",NA,4.683333,-75.666667
"658635","co","alsacia","Alsacia","28",NA,3.434167,-75.174722
"658636","co","alsacia","Alsacia","30",NA,-0.75,-70.233333
"658637","co","alsacia","Alsacia","33",NA,4.747724,-74.249046
"658638","co","alsasia","Alsasia","23",NA,4.683333,-75.666667
"658639","co","alta","Alta","20",NA,1.533333,-78.15
"658640","co","alta buena vista","Alta Buena Vista","09",NA,2.733305,-76.521697
"658641","co","alta clara","Alta Clara","20",NA,1.359749,-77.074668
"658642","co","altaclara","Altaclara","38",NA,9.95,-74.033333
"658643","co","altaflor","Altaflor","29",NA,4.124444,-75.969722
"658644","co","alta flores","Alta Flores","26",NA,6.637222,-73.836667
"658645","co","alta gloria","Alta Gloria","26",NA,7.280278,-73.307222
"658646","co","altagracia","Altagracia","03",NA,6.343186,-70.487305
"658647","co","altagracia","Altagracia","16",NA,3.321944,-75.331944
"658648","co","altagracia","Altagracia","24",NA,4.738333,-75.713611
"658649","co","altagracia","Altagracia","32",NA,5.316667,-72.2
"658650","co","altagracia","Altagracia","36",NA,5.090393,-73.263465
